location,model,face,whole,square,square diff,square error,rectangle,rectangle diff,rectangle error,circle,circle diff,circle error
pompano,pompano3,side3,8.12733086,,,,,,,,,
pompano,pompano3,side3,8.12733086,42.9013758,2.5788758,0.063956248,13.0561909,0.1529909,0.011856818,,,
pompano,pompano3,side3,8.12733086,40.4178191,0.0953191,0.002363918,14.2226938,1.3194938,0.102260974,,,
pompano,pompano3,side4,8.12733086,,,,13.6327422,0.7295422,0.056539634,41.8871986,3.71647452,0.08149507
pompano,pompano3,side4,8.12733086,49.3150474,8.9925474,0.223015622,16.7815785,3.8783785,0.300574935,,,
pompano,pompano3,side4,8.12733086,41.9744761,1.6519761,0.040969089,11.62424,1.27896,0.099119598,,,
pompano,pompano3,side4,8.12733086,43.0002428,2.6777428,0.066408154,13.8272019,0.9240019,0.07161029,,,
pompano,pompano5,top,7.193927,40.0497303,0.2727697,0.006764702,13.7990826,0.8958826,0.06943104,45.6403373,0.03666418,0.000803974
pompano,pompano5,top,7.193927,39.4710408,0.8514592,0.02111623,12.6524995,0.2507005,0.019429328,,,
pompano,pompano5,top,7.193927,39.3955217,0.9269783,0.022989108,12.7029861,0.2002139,0.015516608,,,
pompano,pompano5,top,7.193927,40.0534724,0.2690276,0.006671898,13.0054533,0.1022533,0.007924647,,,
pompano,pompano5,side1,7.193927,,,,13.6677046,0.7645046,0.059249225,56.978759,11.37508588,0.249433546
pompano,pompano5,side1,7.193927,,,,,,,,,
pompano,pompano5,side1,7.193927,38.0295797,2.2929203,0.056864537,13.8988705,0.9956705,0.077164618,,,
pompano,pompano5,side1,7.193927,38.5468591,1.7756409,0.044035982,8.8665297,4.0366703,0.312842574,,,
pompano,pompano5,side2,7.193927,,,,,,,,,
pompano,pompano5,side2,7.193927,,,,,,,,,
pompano,pompano5,side2,7.193927,42.6561028,2.3336028,0.057873465,12.5726869,0.3305131,0.025614816,,,
pompano,pompano5,side2,7.193927,,,,13.16254,0.25934,0.02009889,,,
pompano,pompano5,side3,7.193927,39.7958021,0.5266979,0.013062134,14.3136835,1.4104835,0.10931269,47.3183882,1.71471508,0.037600372
pompano,pompano5,side3,7.193927,37.6437392,2.6787608,0.066433401,11.5815896,1.3216104,0.102425011,,,
pompano,pompano5,side3,7.193927,42.3235446,2.0010446,0.049626005,14.106666,1.203466,0.093268802,,,
pompano,pompano5,side3,7.193927,40.1955188,0.1269812,0.00314914,12.5197766,0.3834234,0.029715373,,,
pompano,pompano5,side4,7.193927,41.5675101,1.2450101,0.030876312,13.584125,0.680925,0.052771793,38.3746592,7.22901392,0.158518238
pompano,pompano5,side4,7.193927,41.6146318,1.2921318,0.032044933,,,,,,
pompano,pompano5,side4,7.193927,39.2324083,1.0900917,0.027034328,,,,,,
pompano,pompano5,side4,7.193927,40.8262622,0.5037622,0.012493328,13.0797033,0.1765033,0.013679033,,,
pompano,pompano6,top,10.1960618,41.5838675,1.2613675,0.031281977,12.3876686,0.5155314,0.039953763,47.9125281,2.30885498,0.050628706
pompano,pompano6,top,10.1960618,40.7705819,0.4480819,0.011112453,12.604551,0.298649,0.023145344,,,
pompano,pompano6,top,10.1960618,39.1854289,1.1370711,0.02819942,13.1891098,0.2859098,0.022158054,,,
pompano,pompano6,top,10.1960618,41.9371152,1.6146152,0.040042537,13.2901292,0.3869292,0.029987073,,,
pompano,pompano6,side1,10.1960618,,,,,,,,,
pompano,pompano6,side1,10.1960618,,,,,,,,,
pompano,pompano6,side1,10.1960618,,,,,,,,,
pompano,pompano6,side1,10.1960618,,,,,,,,,
pompano,pompano6,side2,10.1960618,,,,14.6397109,1.7365109,0.134579864,45.3634642,0.24020892,0.005267315
pompano,pompano6,side2,10.1960618,,,,,,,,,
pompano,pompano6,side2,10.1960618,41.5615614,1.2390614,0.030728784,13.367577,0.464377,0.035989289,,,
pompano,pompano6,side2,10.1960618,39.3497995,0.9727005,0.024123021,13.8975169,0.9943169,0.077059714,,,
pompano,pompano6,side3,10.1960618,,,,,,,,,
pompano,pompano6,side3,10.1960618,,,,,,,,,
pompano,pompano6,side3,10.1960618,,,,,,,,,
pompano,pompano6,side3,10.1960618,,,,,,,,,
pompano,pompano6,side4,10.1960618,43.1929583,2.8704583,0.071187508,12.6625845,0.2406155,0.018647739,47.7825944,2.17892128,0.047779513
pompano,pompano6,side4,10.1960618,38.3229186,1.9995814,0.049589718,,,,,,
pompano,pompano6,side4,10.1960618,41.1134847,0.7909847,0.01961646,14.2552337,1.3520337,0.104782821,,,
pompano,pompano6,side4,10.1960618,43.4317561,3.1092561,0.077109705,14.1047635,1.2015635,0.093121357,,,
pompano,pompano7,top,8.78422947,41.0936375,0.7711375,0.019124248,13.7252352,0.8220352,0.063707855,47.8477418,2.24406868,0.049208069
pompano,pompano7,top,8.78422947,41.1578216,0.8353216,0.020716017,12.9305721,0.0273721,0.002121342,,,
pompano,pompano7,top,8.78422947,41.6674797,1.3449797,0.033355563,13.4599975,0.5567975,0.043151893,,,
pompano,pompano7,top,8.78422947,42.6390431,2.3165431,0.057450384,14.4948419,1.5916419,0.123352494,,,
pompano,pompano7,side1,8.78422947,44.6498885,4.3273885,0.107319449,13.8211636,0.9179636,0.071142321,,,
pompano,pompano7,side1,8.78422947,,,,,,,,,
pompano,pompano7,side1,8.78422947,41.5671435,1.2446435,0.030867221,,,,,,
pompano,pompano7,side1,8.78422947,45.047993,4.725493,0.117192461,14.6135921,1.7103921,0.132555653,,,
pompano,pompano7,side2,8.78422947,53.9216191,13.5991191,0.337258828,14.1166946,1.2134946,0.09404602,46.2890486,0.68537548,0.015028953
pompano,pompano7,side2,8.78422947,46.7516854,6.4291854,0.159444117,14.5899578,1.6867578,0.130723991,,,
pompano,pompano7,side2,8.78422947,42.8057234,2.4832234,0.061584063,14.7379273,1.8347273,0.14219165,,,
pompano,pompano7,side2,8.78422947,44.7584813,4.4359813,0.110012556,14.4312582,1.5280582,0.118424747,,,
pompano,pompano7,side3,8.78422947,,,,,,,,,
pompano,pompano7,side3,8.78422947,,,,,,,,,
pompano,pompano7,side3,8.78422947,,,,,,,,,
pompano,pompano7,side3,8.78422947,,,,,,,,,
pompano,pompano7,side4,8.78422947,,,,,,,,,
pompano,pompano7,side4,8.78422947,,,,,,,,,
pompano,pompano7,side4,8.78422947,42.3220666,1.9995666,0.049589351,13.1310469,0.2278469,0.01765817,,,
pompano,pompano7,side4,8.78422947,42.4505042,2.1280042,0.05277461,,,,,,
pompano,pompano8,top,10.6266498,38.689846,1.632654,0.0404899,11.6277879,1.2754121,0.098844635,48.1892562,2.58558308,0.056696816
pompano,pompano8,top,10.6266498,40.1132597,0.2092403,0.00518917,13.4007256,0.4975256,0.038558311,,,
pompano,pompano8,top,10.6266498,39.0391373,1.2833627,0.031827459,13.2125622,0.3093622,0.023975618,,,
pompano,pompano8,top,10.6266498,37.2629084,3.0595916,0.075878023,14.8573037,1.9541037,0.15144334,,,
pompano,pompano8,side1,10.6266498,46.7896057,6.4671057,0.160384542,14.0057488,1.1025488,0.085447703,53.4237871,7.82011398,0.171479915
pompano,pompano8,side1,10.6266498,58.8660309,18.5435309,0.459880486,16.8918533,3.9886533,0.309121249,,,
pompano,pompano8,side1,10.6266498,42.0777628,1.7552628,0.043530605,16.3636981,3.4604981,0.268189139,,,
pompano,pompano8,side1,10.6266498,42.9868998,2.6643998,0.066077247,14.2035347,1.3003347,0.100776141,,,
pompano,pompano8,side2,10.6266498,,,,14.6011677,1.6979677,0.13159276,33.7499093,11.85376382,0.259930023
pompano,pompano8,side2,10.6266498,,,,,,,,,
pompano,pompano8,side2,10.6266498,42.4858356,2.1633356,0.05365083,,,,,,
pompano,pompano8,side2,10.6266498,39.2584022,1.0640978,0.026389678,13.8523641,0.9491641,0.073560365,,,
pompano,pompano8,side3,10.6266498,,,,,,,,,
pompano,pompano8,side3,10.6266498,,,,,,,,,
pompano,pompano8,side3,10.6266498,,,,,,,,,
