"","Comparison","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"121","41",1,0.0967906518664328,0.0967906518664328,0.167139926960966,0.00615228277287644,0.78
"122","41",27,15.6356871030823,0.579099522336381,NA,0.993847717227124,NA
"123","41",28,15.7324777549487,NA,NA,1,NA
"124","42",1,0.454262172428298,0.454262172428298,0.488833755296907,0.0199614959283707,0.571
"125","42",24,22.3026581535012,0.929277423062548,NA,0.980038504071629,NA
"126","42",25,22.7569203259295,NA,NA,1,NA
"127","43",1,22.6677708458023,22.6677708458023,22.6299581707286,0.475120261277828,0.001
"128","43",25,25.0417728070777,1.00167091228311,NA,0.524879738722172,NA
"129","43",26,47.70954365288,NA,NA,1,NA
"130","44",1,12.8101978000181,12.8101978000181,13.4251771435033,0.316443631999287,0.001
"131","44",29,27.6715705297265,0.954192087231948,NA,0.683556368000713,NA
"132","44",30,40.4817683297446,NA,NA,1,NA
"133","45",1,0.251400797806014,0.251400797806014,0.314885206897801,0.0100554482258948,0.688
"134","45",31,24.7500503715815,0.798388721663919,NA,0.989944551774105,NA
"135","45",32,25.0014511693875,NA,NA,1,NA
"136","46",1,17.1174067007292,17.1174067007292,19.1605103170573,0.477098278029581,0.001
"137","46",21,18.7607498321851,0.893369039627862,NA,0.522901721970419,NA
"138","46",22,35.8781565329143,NA,NA,1,NA
"139","47",1,9.1168171274177,9.1168171274177,10.6551937299023,0.298839877595905,0.002
"140","47",25,21.3905475548339,0.855621902193356,NA,0.701160122404095,NA
"141","47",26,30.5073646822516,NA,NA,1,NA
"142","48",1,0.191898753495559,0.191898753495559,0.280538126512769,0.0102834528121029,0.716
"143","48",27,18.4690273966889,0.684038051729218,NA,0.989716547187897,NA
"144","48",28,18.6609261501845,NA,NA,1,NA
"145","49",1,1.87549333517692,1.87549333517692,2.02086652906411,0.0721200583489453,0.153
"146","49",26,24.1296622084105,0.92806393109271,NA,0.927879941651055,NA
"147","49",27,26.0051555435874,NA,NA,1,NA
"148","50",1,18.1903435501825,18.1903435501825,24.015758579792,0.461701592661614,0.001
"149","50",28,21.2081420502655,0.757433644652338,NA,0.538298407338386,NA
"150","50",29,39.3984856004479,NA,NA,1,NA
"151","51",1,8.62914044306578,8.62914044306578,11.5837399040608,0.265781227805591,0.002
"152","51",32,23.8379397729142,0.74493561790357,NA,0.734218772194409,NA
"153","51",33,32.46708021598,NA,NA,1,NA
