number,colony.id,site,t1,total.colony.size.t1,disease.area.t1,healthy.area.t1,total.model.area.t1,t2,total.colony.size.t2,disease.area.t2,healthy.area.t2,total.model.area.t2,t3,total.colony.size.t3,disease.area.t3,healthy.area.t3,total.model.area.t3,t4,total.colony.size.t4,disease.area.t4,healthy.area.t4,total.model.area.t4,prop.total.1,prop.total.2,prop.total.3,prop.total.4
,,,,,,,,,,,,,,,,,,,,,,,0.923705754,,,
,,,,,,,,,,,,,,,,,,,,,,,0.927271532,,,
,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,0.746973134,,,
,,,,,,,,,,,,,,,,,,,,,,,0.664370977,,,
,,,,,,,,,,,,,,,,,,,,,,,0.99822638,,,
,,,,,,,,,,,,,,,,,,,,,,,0.787859655,,,
,,,,,,,,,,,,,,,,,,,,,,,0.921261444,,,
,,,,,,,,,,,,,,,,,,,,,,,0.472048926,,,
,,,,,,,,,,,,,,,,,,,,,,,0.411799628,,,
,,,,,,,,,,,,,,,,,,,,,,,0.861236254,,,
,,,,,,,,,,,,,,,,,,,,,,,0.912050399,,,
,,,,,,,,,,,,,,,,,,,,,,,0.688190506,,,
,,,,,,,,,,,,,,,,,,,,,,,0.980060542,,,
,,,,,,,,,,,,,,,,,,,,,,,0.870692579,,,
,,,,,,,,,,,,,,,,,,,,,,,0.917119438,,,
,,,,,,,,,,,,,,,,,,,,,,,0.842097554,,,
,,,,,,,,,,,,,,,,,,,,,,,0.972035488,,,
,,,,,,,,,,,,,,,,,,,,,,,0.199521105,,,
,,,,,,,,,,,,,,,,,,,,,,,0.841940162,,,
,,,,,,,,,,,,,,,,,,,,,,,0.100193246,,,
,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,0.751444547,,,
,,,,,,,,,,,,,,,,,,,,,,,0.88604199,,,
,,,,,,,,,,,,,,,,,,,,,,,0.880197789,,,
,,,,,,,,,,,,,,,,,,,,,,,0.822763095,,,
,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,0.51204437,,,
,,,,,,,,,,,,,,,,,,,,,,,0.453541967,,,
,,,,,,,,,,,,,,,,,,,,,,,1.095273206,,,
,,,,,,,,,,,,,,,,,,,,,,,0.547029301,,,
,,,,,,,,,,,,,,,,,,,,,,,0.922191012,,,
,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,0.298924344,,,
,,,,,,,,,,,,,,,,,,,,,,,0.869522979,,,
,,,,,,,,,,,,,,,,,,,,,,,0.926277219,,,
,,,,,,,,,,,,,,,,,,,,,,,0.477965811,,,
,,,,,,,,,,,,,,,,,,,,,,,0.910911932,,,
