location,model,face,whole,square,square diff,square error,rectangle,rectangle diff,rectangle error,circle,circle diff,circle error
LBTS,lbts1,side3,7.8720836,35.7165286,4.6059714,0.11422832,13.7382262,0.8350262,0.06471466,,,
LBTS,lbts1,side3,7.8720836,41.209905,0.887405,0.02200769,14.8220865,1.9188865,0.148714,,,
LBTS,lbts1,side3,7.8720836,44.7748743,4.4523743,0.1104191,14.1518993,1.2486993,0.09677439,44.4762663,1.12740682,0.02472184
LBTS,lbts1,side4,7.8720836,39.4332131,0.8892869,0.02205436,12.5538147,0.3493853,0.02707741,,,
LBTS,lbts1,side4,7.8720836,40.0924438,0.2300562,0.00570541,12.4083611,0.4948389,0.03835009,,,
LBTS,lbts1,side4,7.8720836,,,,10.835596,2.067604,0.16023963,49.4941089,3.89043578,0.0853097
LBTS,lbts1,top,7.8720836,38.4348561,1.8876439,0.04681366,13.1921947,0.2889947,0.02239713,45.8531694,0.24949628,0.00547097
LBTS,lbts1,top,7.8720836,38.7579948,1.5645052,0.03879981,12.7163912,0.1868088,0.01447771,,,
LBTS,lbts1,top,7.8720836,39.1345166,1.1879834,0.02946205,12.4303396,0.4728604,0.03664675,,,
LBTS,lbts1,top,7.8720836,39.4742812,0.8482188,0.02103587,12.623454,0.279746,0.02168036,,,
LBTS,lbts2,side1,9.74216811,38.7640389,1.5584611,0.03864991,12.7231516,0.1800484,0.01395378,,,
LBTS,lbts2,side1,9.74216811,40.8397946,0.5172946,0.01282893,13.1844896,0.2812896,0.02179999,,,
LBTS,lbts2,side1,9.74216811,,,,12.5839877,0.3192123,0.024739,49.4551205,3.85144738,0.08445476
LBTS,lbts2,side2,9.74216811,42.9861587,2.6636587,0.06605887,12.6452045,0.2579955,0.01999469,,,
LBTS,lbts2,side2,9.74216811,44.690401,4.367901,0.10832416,13.8138811,0.9106811,0.07057793,,,
LBTS,lbts2,side2,9.74216811,47.1543764,6.8318764,0.16943087,15.9089257,3.0057257,0.23294421,51.4176098,5.81393668,0.12748834
LBTS,lbts2,side3,9.74216811,39.2850117,1.0374883,0.02572976,13.2055327,0.3023327,0.02343083,,,
LBTS,lbts2,side3,9.74216811,40.5008918,0.1783918,0.00442413,12.79303,0.11017,0.00853819,,,
LBTS,lbts2,side3,9.74216811,43.683841,3.361341,0.08336142,17.5464637,4.6432637,0.35985366,,,
LBTS,lbts2,side3,9.74216811,44.5952223,4.2727223,0.10596372,13.6217566,0.7185566,0.05568825,45.2626522,0.34102092,0.00747793
LBTS,lbts2,side4,9.74216811,38.9847943,1.3377057,0.03317517,12.2022104,0.7009896,0.0543268,,,
LBTS,lbts2,side4,9.74216811,37.7180922,2.6044078,0.06458944,,,,46.9104309,1.30675778,0.02865466
LBTS,lbts2,top,9.74216811,38.613494,1.709006,0.04238343,12.5278856,0.3753144,0.02908692,,,
LBTS,lbts2,top,9.74216811,38.9554115,1.3670885,0.03390386,12.9996472,0.0964472,0.00747467,,,
LBTS,lbts2,top,9.74216811,39.1685128,1.1539872,0.02861894,12.2755011,0.6276989,0.04864676,44.2555723,1.34810082,0.02956123
LBTS,lbts2,top,9.74216811,41.073628,0.751128,0.01862801,12.489075,0.414125,0.03209475,,,
LBTS,lbts3,side1,8.12733086,42.4577738,2.1352738,0.0529549,13.5414692,0.6382692,0.04946596,,,
LBTS,lbts3,side1,8.12733086,42.5245829,2.2020829,0.05461177,13.9406471,1.0374471,0.08040231,,,
LBTS,lbts3,side1,8.12733086,48.468877,8.146377,0.20203055,20.1481033,7.2449033,0.56148113,48.7110057,3.10733258,0.06813777
LBTS,lbts3,side2,8.12733086,39.0198234,1.3026766,0.03230644,13.7515656,0.8483656,0.06574847,,,
LBTS,lbts3,side2,8.12733086,40.5026636,0.1801636,0.00446807,14.1666736,1.2634736,0.0979194,,,
LBTS,lbts3,side2,8.12733086,,,,14.8713028,1.9681028,0.15252827,56.2832851,10.679612,0.23418315
LBTS,lbts3,side3,8.12733086,40.4178191,0.0953191,0.00236392,14.2226938,1.3194938,0.10226097,,,
LBTS,lbts3,side3,8.12733086,42.9013758,2.5788758,0.06395625,13.0561909,0.1529909,0.01185682,,,
LBTS,lbts3,side3,8.12733086,,,,9.68665947,3.21654053,0.24928239,36.7907084,8.81296472,0.1932512
LBTS,lbts3,side4,8.12733086,41.9744761,1.6519761,0.04096909,11.62424,1.27896,0.0991196,,,
LBTS,lbts3,side4,8.12733086,43.0002428,2.6777428,0.06640815,13.8272019,0.9240019,0.07161029,,,
LBTS,lbts3,side4,8.12733086,49.3150474,8.9925474,0.22301562,16.7815785,3.8783785,0.30057493,,,
LBTS,lbts3,side4,8.12733086,,,,13.6327422,0.7295422,0.05653963,41.8871986,3.71647452,0.08149507
LBTS,lbts3,top,8.12733086,40.647126,0.324626,0.00805074,13.4212423,0.5180423,0.04014836,,,
LBTS,lbts3,top,8.12733086,41.9926597,1.6701597,0.04142004,13.5369568,0.6337568,0.04911625,,,
LBTS,lbts3,top,8.12733086,42.8608636,2.5383636,0.06295154,13.3577882,0.4545882,0.03523066,,,
LBTS,lbts3,top,8.12733086,42.8999562,2.5774562,0.06392104,13.5224691,0.6192691,0.04799345,47.2597773,1.65610418,0.03631515
LBTS,lbts5,side1,7.193927,38.0295797,2.2929203,0.05686454,13.8988705,0.9956705,0.07716462,,,
LBTS,lbts5,side1,7.193927,38.5468591,1.7756409,0.04403598,8.8665297,4.0366703,0.31284257,,,
LBTS,lbts5,side1,7.193927,,,,13.6677046,0.7645046,0.05924922,56.978759,11.3750859,0.24943355
LBTS,lbts5,side2,7.193927,42.6561028,2.3336028,0.05787347,12.5726869,0.3305131,0.02561482,,,
LBTS,lbts5,side2,7.193927,,,,13.16254,0.25934,0.02009889,,,
LBTS,lbts5,side3,7.193927,37.6437392,2.6787608,0.0664334,11.5815896,1.3216104,0.10242501,,,
LBTS,lbts5,side3,7.193927,39.7958021,0.5266979,0.01306213,14.3136835,1.4104835,0.10931269,47.3183882,1.71471508,0.03760037
LBTS,lbts5,side3,7.193927,40.1955188,0.1269812,0.00314914,12.5197766,0.3834234,0.02971537,,,
LBTS,lbts5,side3,7.193927,42.3235446,2.0010446,0.04962601,14.106666,1.203466,0.0932688,,,
LBTS,lbts5,side4,7.193927,39.2324083,1.0900917,0.02703433,,,,,,
LBTS,lbts5,side4,7.193927,40.8262622,0.5037622,0.01249333,13.0797033,0.1765033,0.01367903,,,
LBTS,lbts5,side4,7.193927,41.5675101,1.2450101,0.03087631,13.584125,0.680925,0.05277179,38.3746592,7.22901392,0.15851824
LBTS,lbts5,side4,7.193927,41.6146318,1.2921318,0.03204493,,,,,,
LBTS,lbts5,top,7.193927,39.3955217,0.9269783,0.02298911,12.7029861,0.2002139,0.01551661,,,
LBTS,lbts5,top,7.193927,39.4710408,0.8514592,0.02111623,12.6524995,0.2507005,0.01942933,,,
LBTS,lbts5,top,7.193927,40.0497303,0.2727697,0.0067647,13.7990826,0.8958826,0.06943104,45.6403373,0.03666418,0.00080397
LBTS,lbts5,top,7.193927,40.0534724,0.2690276,0.0066719,13.0054533,0.1022533,0.00792465,,,
LBTS,lbts6,side2,10.1960618,39.3497995,0.9727005,0.02412302,13.8975169,0.9943169,0.07705971,,,
LBTS,lbts6,side2,10.1960618,41.5615614,1.2390614,0.03072878,13.367577,0.464377,0.03598929,,,
LBTS,lbts6,side2,10.1960618,,,,14.6397109,1.7365109,0.13457986,45.3634642,0.24020892,0.00526732
LBTS,lbts6,side4,10.1960618,38.3229186,1.9995814,0.04958972,,,,,,
LBTS,lbts6,side4,10.1960618,41.1134847,0.7909847,0.01961646,14.2552337,1.3520337,0.10478282,,,
LBTS,lbts6,side4,10.1960618,43.1929583,2.8704583,0.07118751,12.6625845,0.2406155,0.01864774,47.7825944,2.17892128,0.04777951
LBTS,lbts6,side4,10.1960618,43.4317561,3.1092561,0.07710971,14.1047635,1.2015635,0.09312136,,,
LBTS,lbts6,top,10.1960618,39.1854289,1.1370711,0.02819942,13.1891098,0.2859098,0.02215805,,,
LBTS,lbts6,top,10.1960618,40.7705819,0.4480819,0.01111245,12.604551,0.298649,0.02314534,,,
LBTS,lbts6,top,10.1960618,41.5838675,1.2613675,0.03128198,12.3876686,0.5155314,0.03995376,47.9125281,2.30885498,0.05062871
LBTS,lbts6,top,10.1960618,41.9371152,1.6146152,0.04004254,13.2901292,0.3869292,0.02998707,,,
LBTS,lbts7,side1,8.78422947,41.5671435,1.2446435,0.03086722,,,,,,
LBTS,lbts7,side1,8.78422947,44.6498885,4.3273885,0.10731945,13.8211636,0.9179636,0.07114232,,,
LBTS,lbts7,side1,8.78422947,45.047993,4.725493,0.11719246,14.6135921,1.7103921,0.13255565,,,
LBTS,lbts7,side2,8.78422947,42.8057234,2.4832234,0.06158406,14.7379273,1.8347273,0.14219165,,,
LBTS,lbts7,side2,8.78422947,44.7584813,4.4359813,0.11001256,14.4312582,1.5280582,0.11842475,,,
LBTS,lbts7,side2,8.78422947,46.7516854,6.4291854,0.15944412,14.5899578,1.6867578,0.13072399,,,
LBTS,lbts7,side2,8.78422947,53.9216191,13.5991191,0.33725883,14.1166946,1.2134946,0.09404602,46.2890486,0.68537548,0.01502895
LBTS,lbts7,side4,8.78422947,42.3220666,1.9995666,0.04958935,13.1310469,0.2278469,0.01765817,,,
LBTS,lbts7,side4,8.78422947,42.4505042,2.1280042,0.05277461,,,,,,
LBTS,lbts7,top,8.78422947,41.0936375,0.7711375,0.01912425,13.7252352,0.8220352,0.06370786,47.8477418,2.24406868,0.04920807
LBTS,lbts7,top,8.78422947,41.1578216,0.8353216,0.02071602,12.9305721,0.0273721,0.00212134,,,
LBTS,lbts7,top,8.78422947,41.6674797,1.3449797,0.03335556,13.4599975,0.5567975,0.04315189,,,
LBTS,lbts7,top,8.78422947,42.6390431,2.3165431,0.05745038,14.4948419,1.5916419,0.12335249,,,
LBTS,lbts8,side1,10.6266498,42.0777628,1.7552628,0.0435306,16.3636981,3.4604981,0.26818914,,,
LBTS,lbts8,side1,10.6266498,42.9868998,2.6643998,0.06607725,14.2035347,1.3003347,0.10077614,,,
LBTS,lbts8,side1,10.6266498,46.7896057,6.4671057,0.16038454,14.0057488,1.1025488,0.0854477,53.4237871,7.82011398,0.17147991
LBTS,lbts8,side1,10.6266498,58.8660309,18.5435309,0.45988049,16.8918533,3.9886533,0.30912125,,,
LBTS,lbts8,side2,10.6266498,39.2584022,1.0640978,0.02638968,13.8523641,0.9491641,0.07356036,,,
LBTS,lbts8,side2,10.6266498,42.4858356,2.1633356,0.05365083,14.6011677,1.6979677,0.13159276,33.7499093,11.8537638,0.25993002
LBTS,lbts8,side3,10.6266498,45.2154616,4.8929616,0.12134569,13.3872092,0.4840092,0.03751079,,,
LBTS,lbts8,side4,10.6266498,42.1230901,1.8005901,0.04465472,,,,,,
LBTS,lbts8,side4,10.6266498,44.2707557,3.9482557,0.09791694,14.7444427,1.8412427,0.14269659,,,
LBTS,lbts8,top,10.6266498,37.2629084,3.0595916,0.07587802,14.8573037,1.9541037,0.15144334,,,
LBTS,lbts8,top,10.6266498,38.689846,1.632654,0.0404899,11.6277879,1.2754121,0.09884464,48.1892562,2.58558308,0.05669682
LBTS,lbts8,top,10.6266498,39.0391373,1.2833627,0.03182746,13.2125622,0.3093622,0.02397562,,,
LBTS,lbts8,top,10.6266498,40.1132597,0.2092403,0.00518917,13.4007256,0.4975256,0.03855831,,,
SLR,slr1,side1,3.97387509,37.745047,2.577453,0.06392096,13.6340022,0.7308022,0.05663728,,,
